lr-AdamW,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER
,1089,2.5731635093688965,9,,,,,,,,,
0.001,1099,,,,,,,,,,,
,1099,2.7330570220947266,9,,,,,,,,,
0.001,1109,,,,,,,,,,,
,1109,2.578916072845459,9,,,,,,,,,
0.001,1119,,,,,,,,,,,
,1119,2.530320644378662,9,,,,,,,,,
0.001,1129,,,,,,,,,,,
,1129,2.482999563217163,9,,,,,,,,,
0.001,1139,,,,,,,,,,,
,1139,2.624340772628784,9,,,,,,,,,
,1139,,9,2.564054489135742,95.74656677246094,95.59149169921875,0.0,0.1550731062889099,,,,
0.001,1149,,,,,,,,,,,
,1149,2.5788140296936035,9,,,,,,,,,
0.001,1159,,,,,,,,,,,
,1159,2.5055177211761475,9,,,,,,,,,
0.001,1169,,,,,,,,,,,
,1169,2.416499137878418,9,,,,,,,,,
0.001,1179,,,,,,,,,,,
,1179,2.544981002807617,9,,,,,,,,,
0.001,1189,,,,,,,,,,,
,1189,2.405056953430176,9,,,,,,,,,
0.001,1199,,,,,,,,,,,
,1199,2.4242327213287354,9,,,,,,,,,
,1199,,9,2.442511558532715,95.43641662597656,95.19273376464844,0.0,0.24368630349636078,,,,
,1199,,9,,,,,,96.27783203125,95.93531036376953,0.0,0.3425225019454956
0.001,1209,,,,,,,,,,,
,1209,2.4848856925964355,10,,,,,,,,,
0.001,1219,,,,,,,,,,,
,1219,2.5047762393951416,10,,,,,,,,,
0.001,1229,,,,,,,,,,,
,1229,2.4093832969665527,10,,,,,,,,,
0.001,1239,,,,,,,,,,,
,1239,2.3924508094787598,10,,,,,,,,,
0.001,1249,,,,,,,,,,,
,1249,2.4974899291992188,10,,,,,,,,,
0.001,1259,,,,,,,,,,,
,1259,2.4595494270324707,10,,,,,,,,,
,1259,,10,2.3175904750823975,93.08817291259766,92.68940734863281,0.0,0.3987594246864319,,,,
0.001,1269,,,,,,,,,,,
,1269,2.414656162261963,10,,,,,,,,,
0.001,1279,,,,,,,,,,,
,1279,2.5281853675842285,10,,,,,,,,,
0.001,1289,,,,,,,,,,,
,1289,2.6225168704986572,10,,,,,,,,,
0.001,1299,,,,,,,,,,,
,1299,2.487680196762085,10,,,,,,,,,
0.001,1309,,,,,,,,,,,
,1309,2.4443397521972656,10,,,,,,,,,
0.001,1319,,,,,,,,,,,
,1319,2.3734171390533447,10,,,,,,,,,
,1319,,10,2.2983109951019287,91.05006408691406,90.25254821777344,0.0,0.7975188493728638,,,,
,1319,,10,,,,,,93.6116943359375,92.80714416503906,0.0,0.8045549988746643
0.001,1329,,,,,,,,,,,
,1329,2.4280736446380615,11,,,,,,,,,
0.001,1339,,,,,,,,,,,
,1339,2.4888768196105957,11,,,,,,,,,
0.001,1349,,,,,,,,,,,
,1349,2.3512840270996094,11,,,,,,,,,
0.001,1359,,,,,,,,,,,
,1359,2.1847386360168457,11,,,,,,,,,
0.001,1369,,,,,,,,,,,
,1369,2.3206028938293457,11,,,,,,,,,
0.001,1379,,,,,,,,,,,
,1379,2.259444236755371,11,,,,,,,,,
,1379,,11,2.1680078506469727,89.36641693115234,88.85688781738281,0.0,0.5095258951187134,,,,
0.001,1389,,,,,,,,,,,
,1389,2.3699123859405518,11,,,,,,,,,
0.001,1399,,,,,,,,,,,
,1399,2.3376195430755615,11,,,,,,,,,
0.001,1409,,,,,,,,,,,
,1409,2.200493097305298,11,,,,,,,,,
0.001,1419,,,,,,,,,,,
,1419,2.2719733715057373,11,,,,,,,,,
0.001,1429,,,,,,,,,,,
,1429,2.245013475418091,11,,,,,,,,,
0.001,1439,,,,,,,,,,,
,1439,2.311630964279175,11,,,,,,,,,
,1439,,11,2.1040453910827637,87.85999298095703,87.04032135009766,0.0,0.8196721076965332,,,,
,1439,,11,,,,,,90.51959228515625,89.25296783447266,0.011014125309884548,1.2556103467941284
0.001,1449,,,,,,,,,,,
,1449,2.3466625213623047,12,,,,,,,,,
0.001,1459,,,,,,,,,,,
,1459,2.2526793479919434,12,,,,,,,,,
0.001,1469,,,,,,,,,,,
,1469,2.3150293827056885,12,,,,,,,,,
0.001,1479,,,,,,,,,,,
,1479,2.130235195159912,12,,,,,,,,,
0.001,1489,,,,,,,,,,,
,1489,2.27406907081604,12,,,,,,,,,
0.001,1499,,,,,,,,,,,
