lr-AdamW,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER
,839,,6,0.9144414067268372,16.814355850219727,4.430660247802734,1.4399645328521729,10.943730354309082,,,,
,839,,6,,,,,,8.617430686950684,2.923524856567383,2.295773983001709,3.398131847381592
0.001,849,,,,,,,,,,,
,849,0.20592080056667328,7,,,,,,,,,
0.001,859,,,,,,,,,,,
,859,0.2495739758014679,7,,,,,,,,,
0.001,869,,,,,,,,,,,
,869,0.25959333777427673,7,,,,,,,,,
0.001,879,,,,,,,,,,,
,879,0.3210240602493286,7,,,,,,,,,
0.001,889,,,,,,,,,,,
,889,0.23129314184188843,7,,,,,,,,,
0.001,899,,,,,,,,,,,
,899,0.2471652328968048,7,,,,,,,,,
,899,,7,0.9422227144241333,17.124502182006836,5.139565944671631,1.2184315919876099,10.766504287719727,,,,
0.001,909,,,,,,,,,,,
,909,0.2035195678472519,7,,,,,,,,,
0.001,919,,,,,,,,,,,
,919,0.3193260431289673,7,,,,,,,,,
0.001,929,,,,,,,,,,,
,929,0.251171350479126,7,,,,,,,,,
0.001,939,,,,,,,,,,,
,939,0.2690191864967346,7,,,,,,,,,
0.001,949,,,,,,,,,,,
,949,0.2929828464984894,7,,,,,,,,,
0.001,959,,,,,,,,,,,
,959,0.23930315673351288,7,,,,,,,,,
,959,,7,0.9265579581260681,16.72574234008789,4.585733413696289,1.3956578969955444,10.74435043334961,,,,
,959,,7,,,,,,8.26103687286377,2.8188602924346924,2.1385881900787354,3.303588628768921
0.001,969,,,,,,,,,,,
,969,0.232779860496521,8,,,,,,,,,
0.001,979,,,,,,,,,,,
,979,0.24619334936141968,8,,,,,,,,,
0.001,989,,,,,,,,,,,
,989,0.25999361276626587,8,,,,,,,,,
0.001,999,,,,,,,,,,,
,999,0.28345876932144165,8,,,,,,,,,
0.001,1009,,,,,,,,,,,
,1009,0.21984240412712097,8,,,,,,,,,
0.001,1019,,,,,,,,,,,
,1019,0.226925790309906,8,,,,,,,,,
,1019,,8,0.9518416523933411,17.412494659423828,5.028799057006836,1.3956578969955444,10.988037109375,,,,
0.001,1029,,,,,,,,,,,
,1029,0.31348276138305664,8,,,,,,,,,
0.001,1039,,,,,,,,,,,
,1039,0.233486607670784,8,,,,,,,,,
0.001,1049,,,,,,,,,,,
,1049,0.2622445821762085,8,,,,,,,,,
0.001,1059,,,,,,,,,,,
,1059,0.3588109016418457,8,,,,,,,,,
0.001,1069,,,,,,,,,,,
,1069,0.21525321900844574,8,,,,,,,,,
0.001,1079,,,,,,,,,,,
,1079,0.19192664325237274,8,,,,,,,,,
,1079,,8,0.8956502676010132,16.72574234008789,4.56358003616333,1.4621179103851318,10.700044631958008,,,,
,1079,,8,,,,,,8.270625114440918,2.861159324645996,2.156895160675049,3.252570390701294
0.001,1089,,,,,,,,,,,
,1089,0.24542179703712463,9,,,,,,,,,
0.001,1099,,,,,,,,,,,
,1099,0.2997065782546997,9,,,,,,,,,
0.001,1109,,,,,,,,,,,
,1109,0.27794724702835083,9,,,,,,,,,
0.001,1119,,,,,,,,,,,
,1119,0.24205954372882843,9,,,,,,,,,
0.001,1129,,,,,,,,,,,
,1129,0.2044275850057602,9,,,,,,,,,
0.001,1139,,,,,,,,,,,
,1139,0.27713117003440857,9,,,,,,,,,
,1139,,9,0.9325135350227356,16.37129020690918,3.3451483249664307,2.1488702297210693,10.877270698547363,,,,
0.001,1149,,,,,,,,,,,
,1149,0.22973057627677917,9,,,,,,,,,
0.001,1159,,,,,,,,,,,
,1159,0.22737020254135132,9,,,,,,,,,
0.001,1169,,,,,,,,,,,
,1169,0.307073175907135,9,,,,,,,,,
0.001,1179,,,,,,,,,,,
,1179,0.2319602072238922,9,,,,,,,,,
0.001,1189,,,,,,,,,,,
,1189,0.3683914840221405,9,,,,,,,,,
0.001,1199,,,,,,,,,,,
,1199,0.26216864585876465,9,,,,,,,,,
,1199,,9,0.893653392791748,15.928223609924316,2.4811697006225586,2.5919361114501953,10.855117797851562,,,,
,1199,,9,,,,,,7.91741943359375,2.857497453689575,2.104508399963379,2.955413579940796
0.001,1209,,,,,,,,,,,
,1209,0.2524491548538208,10,,,,,,,,,
0.001,1219,,,,,,,,,,,
,1219,0.19878175854682922,10,,,,,,,,,
0.001,1229,,,,,,,,,,,
,1229,0.27331113815307617,10,,,,,,,,,
0.001,1239,,,,,,,,,,,
,1239,0.33170220255851746,10,,,,,,,,,
0.001,1249,,,,,,,,,,,
,1249,0.2718203663825989,10,,,,,,,,,
0.001,1259,,,,,,,,,,,
,1259,0.24142321944236755,10,,,,,,,,,
,1259,,10,0.8826665282249451,17.501108169555664,4.209126949310303,1.794417381286621,11.497563362121582,,,,
0.001,1269,,,,,,,,,,,
,1269,0.2000897228717804,10,,,,,,,,,
0.001,1279,,,,,,,,,,,
,1279,0.23413437604904175,10,,,,,,,,,
0.001,1289,,,,,,,,,,,
,1289,0.3479398488998413,10,,,,,,,,,
0.001,1299,,,,,,,,,,,
,1299,0.2812810242176056,10,,,,,,,,,
0.001,1309,,,,,,,,,,,
,1309,0.2561841905117035,10,,,,,,,,,
0.001,1319,,,,,,,,,,,
,1319,0.19993095099925995,10,,,,,,,,,
,1319,,10,0.9167178869247437,16.814355850219727,4.076207160949707,1.6393442153930664,11.098803520202637,,,,
,1319,,10,,,,,,7.827680587768555,2.6638920307159424,2.0575225353240967,3.1062662601470947
0.001,1329,,,,,,,,,,,
,1329,0.23865793645381927,11,,,,,,,,,
0.001,1339,,,,,,,,,,,
,1339,0.31406059861183167,11,,,,,,,,,
0.001,1349,,,,,,,,,,,
